ID,Object_Name,Keyword,Tooltip,Value,Result
275,:_MenuItem,Enable_Popup,,false,True
276,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Enable_S,,true,True
277,{container=':KoolProg_Window' name='imgSetParams' type='Image'},Enable_Popup,,false,True
278,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Enable_Popup,,false,True
279,{container=':KoolProg_Window' name='imgServicetest' type='Image'},Enable_Popup,,false,True
280,:Settings.X_Button,Enable_Popup,,false,True
281,:Settings.Browse.._Button,Enable_Popup,,false,True
282,:Settings.Cancel_Button,Enable_Popup,,false,True
283,:Settings.Save_Button,Enable_S,,true,True
284,:MessageBoxDisplay.X_Button,Enable,,true,True
285,:MessageBoxDisplay.X_Button,Tooltip,Close,,True
286,:MessageBoxDisplay.X_Button,Text,,X,True
287,:MessageBoxDisplay.Saved Successfully_Label,Enable,,true,True
288,:MessageBoxDisplay.Saved Successfully_Label,Text,,Saved Successfully,True
289,:MessageBoxDisplay.OK_Button,Enable,,true,True
290,:MessageBoxDisplay.OK_Button,Text,,OK,True
291,:MessageBoxDisplay.OK_Button,Click_Button,,,True
293,:KoolProg_Window,Enable,,true,True
294,:KoolProg_Window,Type,,Window,True
295,{container=':KoolProg_Window' type='Image'},Enable,,true,True
296,:KoolProg.KoolProg®_Label,Enable,,true,True
297,:KoolProg.KoolProg®_Label,Text,,KoolProg®,True
298,:_MenuItem,Enable,,true,True
299,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Enable,,true,True
300,:KoolProg.User_Label,Enable,,true,True
301,:KoolProg.User_Label,Text,,User,True
302,:_MenuItem,Tooltip,Help,,True
303,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Tooltip,Preferences,,True
304,{container=':KoolProg_Window' name='imgSetParams' type='Image'},Enable,,true,True
305,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Enable,,true,True
306,{container=':KoolProg_Window' name='imgServicetest' type='Image'},Enable,,true,True
307,{container=':KoolProg_Window' name='btnSetparameters'  text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,Create and work on configuration files offline,,True
308,{container=':KoolProg_Window' name='btnCopytocontroller' text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,Program controllers with saved configurations on your PC/Laptop,,True
309,{container=':KoolProg_Window' name='btnServiceTest' text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,"Trend, monitor and analyze controller behaviour",,True
310,:KoolProg.Set parameters_Label,Text,,Set parameters,True
311,:KoolProg.Copy to controller_Label,Text,,Copy to controller,True
312,:KoolProg.Service and test_Label,Text,,Service and test,True
313,:KoolProg.www.danfoss.com_Label,Enable,,true,True
314,:KoolProg.www.danfoss.com_Label,Text,,www.danfoss.com,True
